"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-01",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-02",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-03",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-04",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-05",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-06",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-07",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-08",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-09",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-10",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-11",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-13",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-14",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-15",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-16",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-17",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-18",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-19",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-20",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-21",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-22",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-23",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-24",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-25",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-26",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-27",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-28",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-29",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-30",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-01-31",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-02-01",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-02-02",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-02-03",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2022-02-04",,,,
